序号,综合评价,排名
1447,0.5692,326
1660,0.5691,327
604,0.5685,328
854,0.5683,329
5042,0.5677,330
2887,0.5672,331
393,0.5669,332
3023,0.5667,333
4117,0.5665,334
2695,0.5661,335
3839,0.5660,336
3689,0.5660,337
524,0.5658,338
2488,0.5656,339
1930,0.5655,340
4526,0.5655,341
977,0.5649,342
4175,0.5641,343
5177,0.5640,344
1944,0.5635,345
2544,0.5631,346
2396,0.5629,347
3766,0.5626,348
3683,0.5626,349
441,0.5626,350
2884,0.5626,351
2252,0.5625,352
4782,0.5619,353
4260,0.5616,354
1549,0.5615,355
4381,0.5609,356
4021,0.5608,357
1708,0.5606,358
4854,0.5606,359
3580,0.5603,360
1821,0.5600,361
2348,0.5597,362
3109,0.5592,363
4308,0.5592,364
2036,0.5592,365
537,0.5591,366
2370,0.5591,367
4177,0.5587,368
5023,0.5587,369
4583,0.5585,370
934,0.5579,371
2122,0.5576,372
1221,0.5576,373
2608,0.5574,374
149,0.5573,375
3029,0.5572,376
4041,0.5572,377
4696,0.5569,378
1882,0.5566,379
3950,0.5564,380
3706,0.5564,381
2611,0.5563,382
3508,0.5562,383
3255,0.5561,384
37,0.5556,385
4098,0.5555,386
407,0.5553,387
2849,0.5551,388
2941,0.5551,389
2319,0.5549,390
3330,0.5549,391
4421,0.5549,392
131,0.5548,393
5305,0.5547,394
4228,0.5545,395
3711,0.5542,396
3159,0.5537,397
3092,0.5534,398
1764,0.5533,399
3419,0.5530,400
3069,0.5529,401
1876,0.5529,402
2807,0.5527,403
4488,0.5527,404
2267,0.5525,405
1175,0.5519,406
65,0.5519,407
2443,0.5517,408
3408,0.5510,409
2433,0.5508,410
4866,0.5504,411
2939,0.5504,412
5410,0.5503,413
223,0.5502,414
1639,0.5491,415
2398,0.5489,416
53,0.5488,417
5248,0.5486,418
4914,0.5485,419
4618,0.5483,420
1649,0.5477,421
3731,0.5476,422
623,0.5473,423
1323,0.5472,424
189,0.5471,425
351,0.5468,426
4311,0.5467,427
2212,0.5465,428
4624,0.5462,429
4839,0.5460,430
2983,0.5456,431
2282,0.5454,432
3817,0.5451,433
5121,0.5447,434
4275,0.5446,435
275,0.5446,436
4120,0.5443,437
5205,0.5431,438
